provider_ccn,display_name,facility_name,city,county,state,zip_code,cbsa,rural_urban,type_of_control,total_beds,bed_size_band,snf_nf_mix,source_year,fiscal_year,report_days,report_period_status,latest_valid_rule,total_days,average_daily_census,occupancy_rate,medicare_day_share,medicaid_day_share,other_day_share,net_patient_revenue_per_day,operating_expense_per_day,revenue_expense_spread_per_day,patient_service_margin,total_margin,net_income_per_day,salary_cost_per_day,contract_labor_per_day,contract_labor_ratio,total_labor_cost_per_day,labor_cost_share_of_operating_expense,days_cash_on_hand,current_ratio,valid_core_benchmark,data_quality_flags,data_layer_version
465078,BEAVER VALLEY HOSPITAL DBA HIGHLAND — SALT LAKE CITY (465078),BEAVER VALLEY HOSPITAL DBA HIGHLAND,SALT LAKE CITY,SALT LAKE,UT,84124,41620,U,11,103,100-149,SNF-dominant,2023,2024,366,plausible,valid_core_plausible_report_period,26434,72.22404371584699,0.7012043079208446,0.09635318150866308,0.6418627525156995,0.2617840659756374,558.2391238556405,568.6783309374291,-10.439207081788595,-0.018700242666058933,-0.017446963855165316,-9.739577816448513,227.94541121283197,8.242906862374214,0.03489972293951279,269.117462359083,0.47323319303455863,77.45156658834495,1.4957574643147453,TRUE,NA,v0.41
465090,BEAVER VALLEY HOSPITAL DBA ORCHARD P — OREM (465090),BEAVER VALLEY HOSPITAL DBA ORCHARD P,OREM,UTAH,UT,84057,39340,U,11,52,50-99,SNF-dominant,2023,2024,366,plausible,valid_core_plausible_report_period,15799,43.166666666666664,0.8301282051282052,0.03114121146908032,0.7025128172669156,0.26634597126400406,380.84935755427557,383.1888094183176,-2.3394518640420188,-0.006142722358954297,-2.3782461772310268e-4,-0.09057535287043483,123.75087030824736,NA,NA,145.8340401291221,0.38058011232243144,16.32514767096135,0.5951517201358391,TRUE,NA,v0.41
465152,BELLA TERRA ST. GEORGE NURSING — ST. GEORGE (465152),BELLA TERRA ST. GEORGE NURSING,ST. GEORGE,WASHINGTON,UT,84790,41100,U,8,173,150+,SNF-dominant,2023,2024,366,plausible,valid_core_plausible_report_period,23202,63.39344262295082,0.3656391830559758,0.03331609344022067,NA,0.9666839065597793,329.7231704163434,322.2438582880786,7.47931212826478,0.022683610978326555,0.06962058822491382,22.95552107576933,117.32398069131972,NA,NA,131.91763641065427,0.4093720734088372,75.27794661335975,2.515611806177797,TRUE,NA,v0.41
465149,CAPITOL HILL SENIOR LIVING — SALT LAKE CITY (465149),CAPITOL HILL SENIOR LIVING,SALT LAKE CITY,SALT LAKE,UT,84102,41620,U,6,172,150+,Mixed SNF/NF,2020,2020,366,plausible,valid_core_plausible_report_period,21822,59.622950819672134,0.34734580183048147,0.0037576757400788197,0.0010998075336816058,0.9951425167262395,169.50742370085234,287.28750801942994,-117.7800843185776,-0.6948373218534459,-0.6919257170401334,-117.28654568783796,118.18270552653286,2.002520392264687,0.01666195139174326,141.55581523233434,0.49273223262725574,-0.08949771485557619,1.534130227805773,TRUE,NA,v0.41
465100,CARDIFF HEALTHCARE INC. — SALT LAKE CITY (465100),CARDIFF HEALTHCARE INC.,SALT LAKE CITY,SALT LAKE,UT,84107-1867,41620,U,11,85,50-99,SNF-dominant,2023,2024,366,plausible,valid_core_plausible_report_period,20773,56.756830601092894,0.667727418836387,0.03807827468348337,0.7814952101285322,0.18042651518798442,414.5130217108747,359.63852115727144,54.87450055360324,0.13238305597038283,0.1324437945021525,54.899677465941366,203.90839069946566,NA,NA,233.3040003851153,0.6487180506536742,1.5668768323911948,9.758548225371992,TRUE,NA,v0.41
465143,CEDAR CITY HEALTHCARE LLC — CEDAR CITY (465143),CEDAR CITY HEALTHCARE LLC,CEDAR CITY,IRON,UT,84721,99946,R,11,120,100-149,SNF-dominant,2023,2024,366,plausible,valid_core_plausible_report_period,25271,69.0464480874317,0.5753870673952641,0.08614617545803491,0.6839064540382256,0.22994737050373945,376.85734636539905,342.6552965850184,34.20204978038066,0.09075595874736785,0.09142115103571542,34.45273238099007,174.22401171303073,NA,NA,206.729888013929,0.6033173573391297,2.527184942977688,9.001471260742726,TRUE,NA,v0.41
465181,CENTRAL UTAH VETERANS HOME - PAYSON — PAYSON (465181),CENTRAL UTAH VETERANS HOME - PAYSON,PAYSON,UTAH,UT,84651,39340,U,10,108,100-149,SNF-dominant,2023,2024,366,plausible,valid_core_plausible_report_period,37737,103.10655737704919,0.9546903460837887,0.04102074886715955,0.03611839838884914,0.9228608527439913,450.28105042796193,419.1021808834831,31.178869544478857,0.06924313051780764,0.07011376241035916,31.570898587593078,234.74841667329147,21.651429631396244,0.0844440039393284,294.6427113973024,0.7030331142066227,44.5345702003312,2.0642956852681205,TRUE,NA,v0.41
465179,COUNTRY LIFE CARE CENTER — RIVERTON (465179),COUNTRY LIFE CARE CENTER,RIVERTON,SALT LAKE,UT,84065,41620,U,4,64,50-99,SNF-dominant,2023,2023,365,plausible,valid_core_plausible_report_period,21175,58.013698630136986,0.9064640410958904,0.025926800472255016,0.849775678866588,0.12429752066115703,876.507012987013,1013.257945690673,-136.75093270365994,-0.1560180702235707,-0.15512448359475164,-135.96769775678865,352.15971664698935,NA,NA,495.7327036599764,0.4892463027487706,0.010207060237548585,-0.1373966210632562,TRUE,NA,v0.41
465134,COUNTRY VIEW MANOR — PROVO (465134),COUNTRY VIEW MANOR,PROVO,UTAH,UT,84601,39340,U,4,50,50-99,SNF-dominant,2011,2011,365,plausible,valid_core_plausible_report_period,13100,35.89041095890411,0.7178082191780822,0.018244274809160306,0.873587786259542,0.10816793893129771,157.1047328244275,153.10335877862596,4.001374045801526,0.02546946851227751,0.017084436307378947,2.6840458015267177,72.94977099236641,NA,NA,83.74847328244275,0.5470061137165234,19.88501256946612,2.3355969630953157,TRUE,NA,v0.41
465083,CRESTWOOD REHABILITATION AND NURSING — OGDEN (465083),CRESTWOOD REHABILITATION AND NURSING,OGDEN,WEBER,UT,84403,36260,U,9,88,50-99,SNF-dominant,2023,2023,365,plausible,valid_core_plausible_report_period,20030,54.87671232876713,0.6235990037359901,0.037793310034947576,NA,0.9622066899650524,317.3448327508737,279.6770344483275,37.6677983025462,0.11869674377876718,0.1218714882928543,38.67528706939591,118.54148776834748,NA,NA,132.918821767349,0.47525826362373974,29.29379351512898,4.21725993006366,TRUE,NA,v0.41
